word,count
的,1664
我,1421
你,1031
不,607
是,455
在,408
著,341
了,336
一,330
愛,278
想,241
I,216
有,215
都,211
個,206
就,191
也,168
說,159
這,155
妳,152
讓,145
me,145
會,144
人,143
you,139
能,138
那,138
’,133
alright,132
我們,125
(,124
),124
只,118
要,118
自己,117
再,115
還,112
誰,110
心,108
裡,106
過,105
看,103
沒,103
be,101
卻,100
為,98
好,98
沒有,97
得,95
別,94
差不多,94
i,90
被,89
當,87
像,85
很,85
每,83
多,82
天,82
她,79
對,77
次,73
他,71
把,67
到,66
什麼,64
know,64
世界,62
又,62
如果,61
ll,60
才,58
變,57
和,56
等,56
最,53
for,52
不再,50
知道,50
中,50
上,49
去,49
種,47
走,47
夢,46
不能,45
做,44
所有,44
時間,44
the,44
oh,43
希望,42
曾,42
想要,42
聽,42
見,41
現在,41
I'm,41
給,41
曾經,40
太,39
越,38
things,38
笑,36
哭,36
wind,36
而,35
感覺,35
太多,34
about,34
",",34
未來,33
還是,33
下,33
生活,32
快樂,32
will,32
永遠,31
年,31
但,31
那些,31
也許,31
總,31
一樣,30
多少,30
孤單,30
don't,30
來,30
t,30
回憶,29
怎麼,29
開始,29
與,29
跟,29
to,29
手,29
一直,29
wanna,28
時候,28
該,28
懂,28
it,28
LOCAL,28
過去,27
真的,27
久,27
地,26
怕,26
變成,26
兩,26
步,26
傷害,26
無法,25
記得,25
話,25
痛,25
習慣,25
這樣,25
一切,25
離開,25
哪裡,25
敢,25
寂寞,25
陪,25
能夠,25
承諾,25
color,25
Dance,25
句,24
全,24
它,24
其實,24
a,24
總是,24
以為,24
眼,24
不要,24
阮,24
Be,24
前,23
呀,23
臉,23
身邊,23
想念,23
算,23
夠,23
love,23
愛上,23
為什麼,23
so,23
如此,23
更,22
比,22
don,22
活,22
溫柔,22
SENSE,22
用,21
終於,21
不會,21
歌,21
嗎,21
勇敢,21
走過,21
從前,21
因為,21
住,21
baby,21
需要,21
太陽,21
害怕,21
m,21
So,21
on,21
back,21
Move,21
願,20
已,20
可,20
忘,20
已經,20
my,20
在乎,20
got,20
回來,20
愛情,19
裡面,19
吧,19
家,19
相信,19
可以,19
change,19
出現,19
朋友,19
take,19
Everything,19
等待,18
擁抱,18
換,18
路,18
擁有,18
後,18
以後,18
do,18
彼此,18
驕傲,18
幸福,18
?,17
城市,17
一點,17
懷念,17
風,17
成為,17
光,17
放棄,17
經歷,17
屬於,17
是否,17
no,17
遇見,17
別人,17
此刻,17
不用,17
that,17
最後,17
喜歡,17
點,17
理由,17
with,17
幾,16
向,16
存在,16
努力,16
面對,16
自由,16
all,16
些,16
美,16
is,16
笑容,16
just,16
動,16
let,16
ay,16
伯父,16
會不會,15
帶,15
寫,15
底,15
哪怕,15
選擇,15
牽,15
可能,15
特別,15
片,15
付出,15
出來,15
靠近,15
快,15
然後,15
邊,15
Don't,15
壞,15
Make,15
FLY,15
AWAY,15
或,14
錯過,14
少,14
面前,14
將,14
in,14
叫,14
微笑,14
有點,14
呢,14
懷疑,14
s,14
your,14
more,14
扛,14
傷心,14
放,14
失敗,14
件,14
Am,14
人生,13
失去,13
煩惱,13
先,13
黑暗,13
只要,13
事,13
藏,13
留下,13
明白,13
累,13
美麗,13
無,13
聲音,13
幫,13
what,13
tell,13
一起,13
and,13
同,13
飛,12
眼前,12
分,12
大,12
慢慢,12
決定,12
忘記,12
早已,12
留,12
up,12
miya,12
不同,12
連,12
雙手,12
捨不得,12
首,12
孤獨,12
透明,12
But,12
遠,12
時,12
看到,12
願望,12
出,12
珍惜,12
Colorful,12
Color,12
And,12
發現,12
Take,12
擔心,12
we,12
down,12
worry,12
worried,12
回到,11
想見,11
爭吵,11
站,11
輩子,11
錯,11
假裝,11
期待,11
道,11
生命,11
於是,11
天空,11
面,11
之,11
fine,11
直到,11
那麼,11
隻,11
拜託,11
無所謂,11
遠方,11
完,11
everything,11
不管,11
替,11
want,11
等到,11
miss,11
稱讚,11
請,11
