word,count
的,1557
我,1344
你,1152
不,468
是,427
在,354
一,341
了,331
著,237
有,237
都,213
就,207
愛,206
想,182
個,171
會,161
也,146
讓,144
這,143
說,143
沒,136
人,129
再,125
我們,124
妳,124
只,120
能,116
沒有,116
像,107
裡,103
要,101
那,100
卻,93
多,93
還,91
如果,90
誰,87
自己,86
I,82
心,81
才,80
到,80
好,80
每,78
看,76
世界,75
過,74
得,73
和,72
她,71
(,69
),69
太,68
被,65
最,65
知道,65
去,64
怎麼,64
又,62
為,62
對,60
夢,55
天,55
給,55
還是,54
you,54
所有,51
來,50
走,49
次,48
啊,48
當,48
",",48
很,46
他,46
別,44
把,43
最後,42
不再,42
而,41
中,41
my,41
什麼,40
以後,40
上,40
現在,39
該,39
回憶,38
Biu,38
地,37
the,36
無法,35
但,35
手,35
不會,34
抱,34
a,34
一起,34
做,33
需要,32
是否,32
話,32
時間,32
真的,32
相信,32
幸福,31
怕,31
忘,31
與,30
擁有,30
一切,29
那麼,29
?,29
to,29
愛情,28
曾經,28
那些,28
屬於,28
t,28
離開,27
變,27
因為,27
嗎,27
be,27
種,26
笑,26
喜歡,26
跟,26
幾,25
忘記,25
下,25
無,25
一點,25
敢,25
陪,25
away,25
Oh,25
need,25
已,24
未來,24
請,24
慢慢,24
過去,24
想要,24
像是,23
用,23
全,23
帶,23
想起,23
比,22
失去,22
已經,22
害怕,22
等待,22
以前,22
時候,22
溫柔,22
快樂,22
’,22
期待,21
故事,21
願意,21
曾,21
後,21
永遠,21
美,21
更,21
發現,21
明白,21
面對,21
don,21
just,21
全部,20
擁抱,20
眼淚,20
能夠,20
告訴,20
留下,20
吃,20
in,20
等,19
場,19
寂寞,19
雨,19
小,19
總,19
完美,19
~,19
回頭,19
回到,19
baby,19
成為,19
on,19
me,19
fall,19
~~,19
願,18
人生,18
變成,18
風景,18
所以,18
聽,18
前,18
承諾,18
can,18
u,18
fly,18
let,18
back,18
一下,18
一直,17
風,17
只是,17
遍,17
太多,17
總是,17
底,16
不能,16
城市,16
放棄,16
勇氣,16
不要,16
吧,16
遺憾,16
懂,16
從前,16
學會,16
彼此,16
往,16
句,16
遠,16
年,16
可以,16
能不能,16
明天,16
條,16
覺得,16
with,16
多少,16
all,16
路,16
也許,16
白色,16
天空,16
就算,16
Have,16
喔,16
lose,16
mind,16
afraid,16
從,15
感覺,15
夜晚,15
管,15
出,15
好好,15
別人,15
一生,15
花,15
靈魂,15
若,15
藏,15
新,15
算,15
習慣,15
這樣,15
可是,15
閣,14
希望,14
相遇,14
向,14
以為,14
到底,14
夠,14
遠方,14
刻,14
活,14
宇宙,14
久,14
結果,14
照亮,14
哭,14
呼吸,14
選擇,14
成熟,14
咱,14
勇敢,14
留,14
回家,14
換,14
終於,14
接受,14
樣子,14
嫁給,14
唯一,13
擺,13
毋,13
存在,13
遇見,13
努力,13
先,13
步,13
身邊,13
放下,13
開,13
從來,13
知,13
依賴,13
可能,13
繼續,13
歌,13
wanna,13
喝,13
朋友,13
何必,13
悲傷,13
原來,13
難,12
時刻,12
遺失,12
結局,12
吻,12
出現,12
流浪,12
不過,12
時光,12
獨自,12
傷,12
討厭,12
大海,12
回來,12
認真,12
開始,12
事,12
改變,12
不用,12
不停,12
問題,12
某,12
只要,12
呢,12
快,12
m,12
容易,12
住,12
黑夜,12
星星,12
Sweet,12
整,12
來不及,12
剩,12
懂得,12
緊緊,12
一樣,12
名字,12
光,12
Pui,12
謊言,11
送,11
美麗,11
生活,11
幻想,11
不管,11
少,11
問,11
決定,11
對不起,11
見,11
理由,11
停,11
抓,11
醜人,11
作怪,11
即使,11
或許,11
stay,11
'm,11
一定,11
替,11
思念,11
want,11
哭泣,11
情緒,11
超能力,11
really,11
