word,count
got,389
want,300
know,276
go,198
get,163
say,140
make,117
love,107
never,104
oh,102
yeah,99
come,91
going,89
right,87
let,82
good,81
fuck,80
nigga,79
see,76
said,75
put,75
back,71
still,68
keep,67
even,66
bad,62
hot,60
take,59
shit,51
big,50
tell,50
need,49
ayy,46
think,45
ooh,44
feel,44
ever,44
always,43
run,42
really,40
done,40
new,40
well,40
whole,39
real,39
better,38
bring,38
took,37
high,37
uh,36
made,35
away,34
told,33
girl,33
hard,32
falling,32
long,31
left,31
give,31
baby,30
stuck,30
walk,29
lil,29
sometimes,29
hit,28
leave,28
little,28
much,27
feeling,27
last,27
try,26
hope,26
thought,25
stay,25
went,24
hear,24
lose,24
lonely,24
woo,23
niggas,22
used,22
first,22
stop,21
crazy,21
best,21
young,21
nah,21
fuckin,20
ah,20
ya,20
alone,20
comes,20
top,20
straight,20
chasing,20
turn,19
gone,19
running,19
cold,19
close,19
call,19
break,19
coming,19
bed,19
needed,19
look,18
getting,18
spend,18
broke,18
paid,18
came,17
old,17
deep,17
gave,17
many,17
free,17
gon,17
believe,16
seen,16
black,16
mean,16
tryna,16
pussy,16
hold,16
else,16
wet,16
fine,16
maybe,15
tried,15
start,15
ask,15
wish,15
set,15
hate,15
damn,15
hey,14
probably,14
bitch,14
loved,14
stupid,14
tonight,14
molly,14
already,13
feelin,13
lost,13
forever,13
loving,13
play,13
end,13
woah,13
live,13
far,13
wrong,13
alive,13
dynamite,13
listen,13
ending,13
touch,12
waiting,12
hundred,12
huh,12
front,12
dry,12
happy,12
perfect,12
fly,12
swear,12
bigger,12
rags,12
full,11
pull,11
sayin,11
ring,11
rich,11
alright,11
felt,11
known,11
middle,11
great,11
find,11
wanted,11
afraid,11
fill,11
white,11
throw,11
show,10
sleep,10
change,10
pullin,10
red,10
fucking,10
easy,10
locked,10
babe,10
somewhere,10
dead,10
breathe,10
miss,10
soon,10
stayed,10
savage,10
true,10
buy,10
scared,10
cartier,10
sad,10
enough,9
safe,9
wonder,9
watch,9
flew,9
sure,9
goes,9
dark,9
meant,9
tired,9
slow,9
awake,9
sorry,9
least,9
move,8
double,8
looking,8
thinking,8
hurt,8
cool,8
hurts,8
remember,8
guess,8
pulled,8
fast,8
sing,8
along,8
heard,8
freak,8
taking,8
happening,8
met,8
worry,8
quick,8
beat,8
mornin,8
fucked,8
heartless,8
next,8
holding,8
lookin,8
daddy,8
cup,8
señorita,8
rather,8
kept,8
broken,8
prove,8
light,7
bag,7
lay,7
dancing,7
twice,7
dumb,7
dropped,7
boy,7
pretty,7
rid,7
dance,7
nasty,7
sweet,7
foreign,7
lit,7
drink,7
learn,7
whores,7
gettin,7
mad,7
leaving,7
found,7
killing,7
moving,7
kick,7
singing,7
happen,7
shining,7
happened,7
die,7
fight,7
clear,7
diamonds,7
late,7
cut,7
spotlight,7
posted,7
empty,6
stick,6
key,6
caring,6
smoke,6
mind,6
crib,6
standing,6
lighting,6
different,6
reach,6
shatter,6
fear,6
notice,6
focused,6
west,6
roxanne,6
drive,6
gorgeous,6
called,6
knew,6
raw,6
warm,6
wear,6
underneath,6
drip,6
turned,6
sky,6
small,6
okay,6
soul,6
anymore,6
letting,6
burning,6
stand,6
funk,6
lot,6
low,6
mood,6
pop,6
tú,6
sabes,6
human,6
fourteen,6
wan,6
callin,6
